Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
25-34 years old,Canada,Some college/university study without earning a degree,,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;MicroPython;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zephyr;Zig,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;MicroPython;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zephyr;Zig,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,"Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Colocation;Databricks;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;PythonAnywhere;Render;Scaleway;Supabase;Vercel","Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Colocation;Databricks;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;PythonAnywhere;Render;Scaleway;Supabase;Vercel",Angular;AngularJS;ASP.NET;ASP.NET CORE;Astro;Blazor;CodeIgniter;Deno;Django;Drupal;Elm;Express;FastAPI;Fastify;Flask;Gatsby;Htmx;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;Play Framework;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Strapi;Svelte;Symfony;Vue.js;WordPress;Yii 2
35-44 years old,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,C;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;Visual Basic (.Net),Firebase Realtime Database;MongoDB;MySQL,Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;Neo4J;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud,"Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Linode, now Akamai",AngularJS;Express;NestJS;Next.js;Node.js;React;Spring Boot
25-34 years old,France,Something else,4,HTML/CSS;Java;JavaScript;Python;TypeScript,HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI;React;Spring Boot
18-24 years old,Kenya,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,C#;GDScript;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,C;C#;GDScript;HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript;Zig,Firebase Realtime Database;MySQL;PostgreSQL;SQLite,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner;Microsoft Azure;Netlify,Angular;Express;Next.js;Node.js;React;Spring Boot;Svelte
25-34 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Bash/Shell (all shells);C#;Go;Groovy;Java;Kotlin;Lua;PHP;Python;Rust;SQL,Bash/Shell (all shells);Go;Kotlin;Rust,Elasticsearch;H2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,H2;PostgreSQL;Redis,Managed Hosting;OpenShift,Amazon Web Services (AWS);Managed Hosting;OpenShift,Spring Boot
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,C#;Java;PowerShell;Python,C#;Rust,Elasticsearch;MySQL;Oracle;PostgreSQL;Redis,Neo4J;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET CORE;Blazor;FastAPI
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Rust,C#;C++;HTML/CSS;JavaScript;PHP;Python;Rust,SQLite,SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud,Cloudflare,jQuery;WordPress
45-54 years old,United States of America,Some college/university study without earning a degree,29,Bash/Shell (all shells);Crystal;Dart;HTML/CSS;JavaScript;TypeScript,Crystal;Go;Haskell;HTML/CSS;JavaScript;Python;Swift,Dynamodb;MySQL;Redis,Dynamodb;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),Astro;Express;Next.js;Node.js;React;Remix
35-44 years old,Serbia,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,Go;Python,Go;Python;TypeScript,Dynamodb;PostgreSQL,Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean,FastAPI;Node.js
18-24 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",,C;C++;Dart;HTML/CSS;JavaScript;MATLAB;Python;TypeScript,Go;HTML/CSS;JavaScript;TypeScript,BigQuery;Firebase Realtime Database;MongoDB;MySQL;SQLite,MySQL;SQLite,Firebase;Google Cloud;Heroku;Microsoft Azure,Google Cloud,Node.js;React
45-54 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Bash/Shell (all shells);C;C#;C++;Java;SQL,Bash/Shell (all shells);C;C#;C++;Go;Java;Rust;SQL;Zig,MySQL;Oracle,BigQuery;Cassandra;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;RavenDB;Redis,Cloudflare;Digital Ocean;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Blazor
25-34 years old,Hungary,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Elixir;Erlang;GDScript;HTML/CSS;JavaScript;Lua;OCaml;Rust;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Netlify;Vercel,Supabase;Vercel,Deno;Express;Fastify;Next.js;Node.js;Phoenix;React
25-34 years old,Norway,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Kotlin;SQL,Cosmos DB;Firebase Realtime Database;MariaDB;MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud,Spring Boot
25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;SQLite,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,OVH,Amazon Web Services (AWS);OVH,Angular;ASP.NET;ASP.NET CORE;Django;Elm;Node.js;React;Vue.js
35-44 years old,Singapore,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,HTML/CSS;Java;JavaScript;PowerShell;SQL,HTML/CSS;Java;JavaScript;PowerShell;SQL,H2;MongoDB;Oracle;PostgreSQL;Redis,H2;MongoDB;Oracle;PostgreSQL;Redis,Heroku;Microsoft Azure,Microsoft Azure,jQuery;React;Spring Boot
25-34 years old,Nepal,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;H2;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Cloud Firestore;Elasticsearch;Firebase Realtime Database;H2;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel,Amazon Web Services (AWS);Firebase;Google Cloud;Vercel,Angular;NestJS;Node.js;React;Spring Boot
45-54 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,ASP.NET CORE;Deno;Django;Express;Flask;Htmx;Laravel;Node.js;React;Vue.js;WordPress
18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,4,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PowerShell;Python;Ruby;Rust;SQL;TypeScript,C#;Java;Kotlin;PowerShell;Rust;TypeScript,Cassandra;Clickhouse;DuckDB;EventStoreDB;Oracle;PostgreSQL;SQLite,Clickhouse;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;OpenStack;Oracle Cloud Infrastructure (OCI);OVH,Microsoft Azure;OpenStack;Oracle Cloud Infrastructure (OCI);OVH,ASP.NET CORE;Astro
25-34 years old,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Dart;Java;PowerShell;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;React
45-54 years old,Brazil,"Associate degree (A.A., A.S., etc.)",5,HTML/CSS;PowerShell;Python;SQL,Go;Python,Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Solr,PostgreSQL,Amazon Web Services (AWS);Google Cloud;IBM Cloud Or Watson;VMware,Amazon Web Services (AWS);Microsoft Azure,Django
35-44 years old,Belgium,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,Go,Go,Microsoft SQL Server;SQLite,SQLite,Microsoft Azure,Microsoft Azure,Htmx
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure;Vercel,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Vercel,ASP.NET CORE;Express;Next.js;Node.js;React
18-24 years old,Austria,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,C#;C++;HTML/CSS;MATLAB;Python;SQL,C#;C++;HTML/CSS;MATLAB;MicroPython;Python;R;SQL,InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,InfluxDB;Microsoft SQL Server;SQLite,Google Cloud;VMware,Alibaba Cloud;Amazon Web Services (AWS);Google Cloud;VMware,Angular;Flask
25-34 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript,Firebase Realtime Database;MongoDB;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify,Amazon Web Services (AWS);Netlify,NestJS;Node.js;React
45-54 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js
25-34 years old,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,Bash/Shell (all shells);Groovy;Java;Ruby;SQL;TypeScript,Bash/Shell (all shells);Go;Groovy;Ruby;Rust;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis,Elasticsearch;MongoDB;Redis,Amazon Web Services (AWS);Cloudflare;OpenShift,Amazon Web Services (AWS);OpenShift,Next.js;Node.js;Ruby on Rails
45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,JavaScript;Python;Rust;SQL;TypeScript,Rust;SQL;TypeScript,MongoDB;PostgreSQL;Redis,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;VMware,Amazon Web Services (AWS),Elm;FastAPI;Next.js;React;Solid.js;Svelte
25-34 years old,Montenegro,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,Go;HTML/CSS;JavaScript;Rust,Go;HTML/CSS;JavaScript;Rust,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Hetzner;Vercel,Hetzner;Vercel,Next.js;React
35-44 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",17,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Clickhouse;Elasticsearch;MySQL;PostgreSQL;Redis,Clickhouse;Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner,Express;NestJS;Node.js;React;Ruby on Rails;WordPress
35-44 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,Groovy;HTML/CSS;Java;TypeScript,Go;Groovy;Java;Python,H2;PostgreSQL,Elasticsearch;H2;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot
35-44 years old,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Cosmos DB;Dynamodb;Microsoft SQL Server;PostgreSQL;SQLite,Cosmos DB;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure;OpenShift,Amazon Web Services (AWS);Microsoft Azure,Angular;Node.js
25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,JavaScript;Python;TypeScript,Elixir;Go;JavaScript;Python;TypeScript,Dynamodb,DuckDB;Dynamodb;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Microsoft Azure;Vercel,Amazon Web Services (AWS);Cloudflare;Fly.io;Hetzner;Vercel,Django;Fastify;Flask;Next.js;Node.js;React;Remix
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;SQL,Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle,Firebase;Heroku;Microsoft Azure,Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE
35-44 years old,Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;Rust;TypeScript,Databricks SQL;Microsoft SQL Server,Databricks SQL;Microsoft SQL Server;MongoDB;PostgreSQL,Databricks;Microsoft Azure,Databricks;Microsoft Azure,Angular;FastAPI
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;React
25-34 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Solidity;SQL;Visual Basic (.Net),HTML/CSS;Java;JavaScript;PHP;Python;SQL,Dynamodb;Elasticsearch;Firebird;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis;Snowflake;SQLite,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Hetzner;OpenShift;VMware,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Hetzner;Microsoft Azure,CodeIgniter;Flask;Node.js;WordPress
18-24 years old,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,C++;Python,C++;Python,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI
65 years or older,Portugal,Some college/university study without earning a degree,32,Elixir;Erlang,C#;Elixir;Erlang,PostgreSQL,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean,Digital Ocean;Fly.io,Phoenix
45-54 years old,Canada,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,C#;PowerShell;SQL;VBA,C#;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE
25-34 years old,Argentina,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Go;JavaScript;Python;SQL;TypeScript,JavaScript;Python;SQL,Cloud Firestore;MongoDB;Neo4J;PostgreSQL;SQLite;Supabase,MongoDB;Neo4J;PostgreSQL;SQLite;Supabase,Digital Ocean;Google Cloud;Hetzner;Vercel,Hetzner;Vercel,FastAPI;Flask;Next.js;Node.js;Svelte
18-24 years old,Argentina,Something else,9,Assembly;C;C++;Fortran;Go;HTML/CSS;JavaScript;Lua;MicroPython;Python;Rust,Assembly;C;C++;HTML/CSS;JavaScript;Lua;MicroPython;Python,MongoDB;SQLite,MongoDB;SQLite,Amazon Web Services (AWS);Supabase,Amazon Web Services (AWS),Node.js;Vue.js
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Google Cloud;Microsoft Azure;VMware,Google Cloud;Microsoft Azure,Angular
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);C;C#;Groovy;HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript;Visual Basic (.Net),C#;Elixir;PowerShell;Python;Rust;TypeScript,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Dynamodb;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Microsoft Azure,Microsoft Azure;Oracle Cloud Infrastructure (OCI),ASP.NET;Django;Svelte
35-44 years old,Germany,Some college/university study without earning a degree,18,Go;HTML/CSS;Java;Kotlin;Python;SQL;TypeScript,Go;HTML/CSS;Kotlin;Python;SQL;TypeScript,MariaDB;PostgreSQL;Redis,MariaDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),React
25-34 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,Python,Python,MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,Microsoft Azure,Microsoft Azure,FastAPI
35-44 years old,Denmark,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript;Zig,MongoDB;Solr,MongoDB,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Vercel,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Vercel,Angular;Next.js;Node.js;React
25-34 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,C++;Java;JavaScript;Python;TypeScript,JavaScript;Python;TypeScript,Cosmos DB;MongoDB;MySQL,Cosmos DB;MongoDB;MySQL,Microsoft Azure,Google Cloud;Microsoft Azure,NestJS;React;Spring Boot
18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,Elixir,Elixir;Python,MySQL;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Node.js;Phoenix;React
35-44 years old,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,Bash/Shell (all shells);HTML/CSS;Python;R;SQL,Bash/Shell (all shells);HTML/CSS;Python;R;SQL,BigQuery;DuckDB;Microsoft SQL Server;MySQL;Oracle;Snowflake;SQLite,BigQuery;DuckDB;Microsoft SQL Server;MySQL;Snowflake;SQLite,Cloudflare;Google Cloud;Microsoft Azure;Netlify,Microsoft Azure;Netlify,Deno;WordPress
25-34 years old,Hungary,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Java;Kotlin;Python;Rust;SQL;TypeScript;Zig,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Cloudflare;Google Cloud;Hetzner,Cloudflare;Google Cloud;Hetzner,Vue.js
55-64 years old,Germany,Some college/university study without earning a degree,35,Fortran;Java,Fortran;Java;Julia;Objective-C;Swift,MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot
18-24 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",2,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Kotlin;MicroPython;PHP;Python;Rust;SQL;Swift;TypeScript;VBA,Cassandra;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;Neo4J,Firebase Realtime Database;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Cloudflare;Firebase;OVH;Vercel,Alibaba Cloud;Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);Vercel,AngularJS;Express;Fastify;Next.js;Node.js;React
25-34 years old,Germany,Some college/university study without earning a degree,8,Bash/Shell (all shells);HTML/CSS;JavaScript;MicroPython;Python;TypeScript,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;MicroPython;Python;TypeScript,Clickhouse;Cosmos DB;InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite,Clickhouse;Cosmos DB;InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Databricks;Hetzner;Microsoft Azure,Amazon Web Services (AWS);Databricks;Hetzner;Microsoft Azure,Django;FastAPI;Flask;Next.js;Node.js;React
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,Python;R,C++;Python,BigQuery;MySQL;PostgreSQL,MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,FastAPI
65 years or older,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",42,HTML/CSS;Java;PHP;SQL,Dart;HTML/CSS;Java;JavaScript;PHP;SQL,MySQL,MySQL,Amazon Web Services (AWS);Managed Hosting,Amazon Web Services (AWS);Cloudflare;Managed Hosting,AngularJS;jQuery
